Brewery,Beer,Style,ABV,IBU
Copper Kettle,Dark Samba,,8% ABV ,
Copper Kettle,IPA,,7.2% ABV ,
Copper Kettle,Citrus Paradisi,,6.3% ABV ,
Copper Kettle,Snowed In Maple 2019,,12.2% ABV ,
Copper Kettle,Snowed In Coconut 2020,,12.1% ABV ,
Copper Kettle,Lemon Shandy Lager,,4.3 ABV ,
Copper Kettle,Bavarian Helles Lager,,5.3% ABV ,
Copper Kettle,Mexican Chocolate Stout,,7% ABV ,
Copper Kettle,Hazy Morals,,8.75% ABV ,
Copper Kettle,Spooky Hollow,,9.2% ABV ,
Copper Kettle,Dreaded Brit ESB,,5% ABV ,
